pause_id,start_sec,end_sec,duration_sec,threshold_sec,speaker_context,pause_location_candidate,location_confidence,needs_word_alignment,needs_clause_boundary,previous_utterance_id,previous_speaker,previous_text,next_utterance_id,next_speaker,next_text,containing_utterance_id,containing_speaker,containing_text,overlapping_utterance_id,overlapping_speaker,overlapping_text,previous_word,next_word,word_timing_source,notes
p_0001,0,0.744219,0.744,0.25,partial_utterance_overlap,utterance_edge_overlap_requires_word_alignment,low,true,true,,,,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",,,,1,Todd,"OK, Simon, let's go get something to eat? Let's go out to dinner. I'm really hungry.",,ok (utt_0001_w001),forced_alignment,pause partially overlaps an utterance interval; word timing is required before location labeling
p_0002,2.392219,2.808219,0.416,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,,,,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",1,Todd,"OK, Simon, let's go get something to eat? Let's go out to dinner. I'm really hungry.",,,,go (utt_0001_w004),get (utt_0001_w005),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0003,5.872219,7.216219,1.344,0.25,partial_utterance_overlap,turn_boundary_by_word_alignment,medium,false,true,,,,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,1,Todd,"OK, Simon, let's go get something to eat? Let's go out to dinner. I'm really hungry.",hungry (utt_0001_w016),ok (utt_0002_w002),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0004,14.216219,14.544219,0.328,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",4,Simon,Family diner. What's that?,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,there's (utt_0003_w005),few (utt_0003_w007),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0005,17.600219,17.864219,0.264,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",4,Simon,Family diner. What's that?,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,restaurant (utt_0003_w013),there's (utt_0003_w014),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0006,17.968219,18.424219,0.456,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",4,Simon,Family diner. What's that?,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,restaurant (utt_0003_w013),a (utt_0003_w015),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0007,19.328219,19.632219,0.304,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",4,Simon,Family diner. What's that?,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,there's (utt_0003_w014),grilled (utt_0003_w016),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0008,22.096219,23.120219,1.024,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",4,Simon,Family diner. What's that?,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,restaurant (utt_0003_w018),is (utt_0003_w020),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0009,24.128219,24.568219,0.44,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",4,Simon,Family diner. What's that?,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,a (utt_0003_w021),fish (utt_0003_w022),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
p_0010,25.736219,26.440219,0.704,0.25,within_utterance,word_gap_requires_clause_boundary,low,false,true,2,Simon,"Yeah, OK, me too. I'm really hungry as well. Ah, what is there to eat around here?",4,Simon,Family diner. What's that?,3,Todd,"Well, around my house there's a few restaurants. Um, there's an Italian restaurant. There's a grilled chicken restaurant. There is a fish restaurant, and there is a family diner.",,,,restaurant (utt_0003_w023),there (utt_0003_w025),forced_alignment,word alignment present; clause boundary is still required for mid-clause vs end-clause
